Subject,Mode,anzahl_richtig,Age,Sex,WST.Right,Raven.Right,English.Total,NrLang,DS.Total
64,Auditory,23,27,female,34,28,42,4,7
64,Visual,25,27,female,34,28,42,4,7
78,Auditory,19,47,female,33,26,27,3,8
78,Visual,20,47,female,33,26,27,3,8
134,Auditory,24,33,male,32,24,24,3,6
134,Visual,12,33,male,32,24,24,3,6
230,Auditory,12,84,male,37,20,31,4,7
230,Visual,26,84,male,37,20,31,4,7
288,Auditory,12,28,male,35,24,39,4,9
288,Visual,9,28,male,35,24,39,4,9
326,Auditory,20,32,female,35,19,32,3,6
326,Visual,24,32,female,35,19,32,3,6
447,Auditory,22,53,female,34,16,30,3,8
447,Visual,25,53,female,34,16,30,3,8
527,Auditory,9,71,male,34,15,35,2,8
527,Visual,15,71,male,34,15,35,2,8
545,Auditory,19,16,female,29,21,25,3,4
545,Visual,14,16,female,29,21,25,3,4
550,Auditory,22,52,female,35,15,27,3,5
550,Visual,24,52,female,35,15,27,3,5
552,Auditory,17,56,female,36,24,30,3,6
552,Visual,18,56,female,36,24,30,3,6
675,Auditory,20,30,male,29,23,28,3,7
675,Visual,22,30,male,29,23,28,3,7
717,Auditory,18,15,female,29,21,25,2,6
717,Visual,18,15,female,29,21,25,2,6
776,Auditory,13,40,female,29,11,6,2,6
776,Visual,10,40,female,29,11,6,2,6
1034,Auditory,19,51,female,32,23,19,3,6
1034,Visual,20,51,female,32,23,19,3,6
1076,Auditory,20,14,male,30,32,23,3,9
1076,Visual,15,14,male,30,32,23,3,9
1232,Auditory,20,24,male,32,8,34,4,5
1232,Visual,16,24,male,32,8,34,4,5
1264,Auditory,9,12,male,17,19,11,1,5
1264,Visual,6,12,male,17,19,11,1,5
1312,Auditory,2,77,male,32,2,9,2,6
1312,Visual,16,77,male,32,2,9,2,6
1350,Auditory,18,43,male,38,31,38,4,10
1350,Visual,26,43,male,38,31,38,4,10
1401,Auditory,20,59,male,38,21,39,4,10
1401,Visual,22,59,male,38,21,39,4,10
1404,Auditory,20,23,female,29,27,29,3,6
1404,Visual,19,23,female,29,27,29,3,6
1570,Auditory,23,29,male,36,19,NA,4,6
1570,Visual,17,29,male,36,19,NA,4,6
1644,Auditory,21,45,female,34,19,32,3,6
1644,Visual,24,45,female,34,19,32,3,6
1668,Auditory,21,37,female,35,21,37,3,6
1668,Visual,30,37,female,35,21,37,3,6
1830,Auditory,13,15,male,18,5,22,3,5
1830,Visual,6,15,male,18,5,22,3,5
1897,Auditory,17,33,male,31,16,30,8,5
1897,Visual,23,33,male,31,16,30,8,5
1936,Auditory,22,60,male,36,24,41,4,7
1936,Visual,23,60,male,36,24,41,4,7
1967,Auditory,15,72,male,NA,3,10,1,5
1967,Visual,14,72,male,NA,3,10,1,5
1976,Auditory,11,11,male,15,18,9,1,3
1976,Visual,13,11,male,15,18,9,1,3
2151,Auditory,13,26,female,32,28,33,4,11
2151,Visual,15,26,female,32,28,33,4,11
2196,Auditory,10,67,female,35,22,36,4,6
2196,Visual,21,67,female,35,22,36,4,6
2271,Auditory,20,26,female,35,28,43,4,8
2271,Visual,24,26,female,35,28,43,4,8
2285,Auditory,26,51,male,34,32,35,2,7
2285,Visual,27,51,male,34,32,35,2,7
2290,Auditory,7,58,male,36,0,33,2,5
2290,Visual,21,58,male,36,0,33,2,5
2384,Auditory,17,27,female,36,22,36,2,7
2384,Visual,19,27,female,36,22,36,2,7
2493,Auditory,16,16,male,22,18,27,2,4
2493,Visual,17,16,male,22,18,27,2,4
2654,Auditory,18,41,female,33,15,24,2,6
2654,Visual,10,41,female,33,15,24,2,6
2795,Auditory,4,70,female,37,7,7,2,7
2795,Visual,16,70,female,37,7,7,2,7
2846,Auditory,6,11,female,4,15,6,3,6
2846,Visual,3,11,female,4,15,6,3,6
2909,Auditory,6,58,male,34,9,16,2,8
2909,Visual,10,58,male,34,9,16,2,8
3071,Auditory,18,48,female,26,24,28,3,7
3071,Visual,18,48,female,26,24,28,3,7
3121,Auditory,11,15,female,20,22,34,2,5
3121,Visual,11,15,female,20,22,34,2,5
3125,Auditory,8,12,male,20,15,14,1,4
3125,Visual,9,12,male,20,15,14,1,4
3172,Auditory,14,16,male,23,17,19,2,8
3172,Visual,12,16,male,23,17,19,2,8
3204,Auditory,17,15,female,25,23,28,2,9
3204,Visual,15,15,female,25,23,28,2,9
3270,Auditory,15,36,female,36,17,42,5,9
3270,Visual,17,36,female,36,17,42,5,9
3357,Auditory,13,44,female,34,18,31,3,5
3357,Visual,6,44,female,34,18,31,3,5
3434,Auditory,17,37,female,37,17,39,3,3
3434,Visual,26,37,female,37,17,39,3,3
3454,Auditory,15,10,male,23,9,11,2,5
3454,Visual,11,10,male,23,9,11,2,5
3494,Auditory,20,46,female,32,22,28,4,5
3494,Visual,24,46,female,32,22,28,4,5
3558,Auditory,9,10,male,4,14,9,2,3
3558,Visual,3,10,male,4,14,9,2,3
3566,Auditory,18,29,female,34,19,39,3,10
3566,Visual,24,29,female,34,19,39,3,10
3691,Auditory,21,59,female,35,18,38,3,8
3691,Visual,22,59,female,35,18,38,3,8
3704,Auditory,20,72,male,35,26,40,4,5
3704,Visual,29,72,male,35,26,40,4,5
3836,Auditory,18,66,female,35,20,29,4,9
3836,Visual,14,66,female,35,20,29,4,9
3843,Auditory,20,70,male,34,17,10,4,5
3843,Visual,19,70,male,34,17,10,4,5
3859,Auditory,24,24,female,35,21,44,5,9
3859,Visual,29,24,female,35,21,44,5,9
3914,Auditory,12,11,female,12,11,3,3,6
3914,Visual,8,11,female,12,11,3,3,6
4137,Auditory,19,60,female,34,7,33,4,5
4137,Visual,27,60,female,34,7,33,4,5
4155,Auditory,22,33,female,35,27,42,4,6
4155,Visual,23,33,female,35,27,42,4,6
4181,Auditory,16,74,female,36,0,35,4,5
4181,Visual,15,74,female,36,0,35,4,5
4274,Auditory,16,70,male,38,18,34,3,9
4274,Visual,27,70,male,38,18,34,3,9
4369,Auditory,22,41,female,34,29,33,4,10
4369,Visual,28,41,female,34,29,33,4,10
4420,Auditory,12,47,female,29,7,28,2,5
4420,Visual,7,47,female,29,7,28,2,5
4432,Auditory,16,16,female,29,18,32,3,6
4432,Visual,20,16,female,29,18,32,3,6
4566,Auditory,13,11,female,17,15,10,3,6
4566,Visual,13,11,female,17,15,10,3,6
4650,Auditory,17,48,female,41,21,41,4,8
4650,Visual,30,48,female,41,21,41,4,8
4675,Auditory,10,71,male,33,3,17,2,6
4675,Visual,13,71,male,33,3,17,2,6
4854,Auditory,8,86,male,34,8,9,3,7
4854,Visual,24,86,male,34,8,9,3,7
4932,Auditory,19,16,female,32,19,29,2,8
4932,Visual,21,16,female,32,19,29,2,8
5153,Auditory,25,51,female,37,18,37,3,6
5153,Visual,28,51,female,37,18,37,3,6
5180,Auditory,14,65,male,38,11,34,5,6
5180,Visual,24,65,male,38,11,34,5,6
5277,Auditory,16,27,male,29,29,NA,3,7
5277,Visual,15,27,male,29,29,NA,3,7
5290,Auditory,5,10,female,20,4,10,2,6
5290,Visual,5,10,female,20,4,10,2,6
5362,Auditory,19,33,male,35,20,43,3,4
5362,Visual,26,33,male,35,20,43,3,4
5449,Auditory,23,32,female,34,27,41,2,6
5449,Visual,24,32,female,34,27,41,2,6
5491,Auditory,24,41,female,35,32,43,4,7
5491,Visual,33,41,female,35,32,43,4,7
5566,Auditory,22,42,female,32,6,31,4,4
5566,Visual,28,42,female,32,6,31,4,4
5584,Auditory,22,30,female,37,29,39,4,9
5584,Visual,24,30,female,37,29,39,4,9
5621,Auditory,19,30,female,33,26,41,5,7
5621,Visual,26,30,female,33,26,41,5,7
5731,Auditory,21,76,female,38,16,41,3,6
5731,Visual,24,76,female,38,16,41,3,6
5755,Auditory,20,16,male,36,29,38,4,6
5755,Visual,19,16,male,36,29,38,4,6
5885,Auditory,20,62,male,37,13,36,2,8
5885,Visual,20,62,male,37,13,36,2,8
5901,Auditory,21,15,male,30,23,33,2,6
5901,Visual,22,15,male,30,23,33,2,6
5916,Auditory,16,11,female,6,29,18,2,9
5916,Visual,16,11,female,6,29,18,2,9
5997,Auditory,16,33,female,37,23,41,4,8
5997,Visual,29,33,female,37,23,41,4,8
6039,Auditory,18,59,female,31,3,21,3,8
6039,Visual,18,59,female,31,3,21,3,8
6131,Auditory,26,46,female,37,9,20,3,8
6131,Visual,18,46,female,37,9,20,3,8
6150,Auditory,19,63,male,36,18,31,6,6
6150,Visual,22,63,male,36,18,31,6,6
6164,Auditory,10,10,male,8,13,29,1,5
6164,Visual,8,10,male,8,13,29,1,5
6178,Auditory,19,15,female,25,27,21,2,4
6178,Visual,14,15,female,25,27,21,2,4
6215,Auditory,15,72,male,38,19,38,4,7
6215,Visual,29,72,male,38,19,38,4,7
6264,Auditory,17,33,female,34,17,34,5,6
6264,Visual,20,33,female,34,17,34,5,6
6329,Auditory,23,56,female,37,21,42,3,6
6329,Visual,26,56,female,37,21,42,3,6
6448,Auditory,5,11,female,7,22,8,2,6
6448,Visual,4,11,female,7,22,8,2,6
6510,Auditory,19,41,female,34,30,40,2,8
6510,Visual,20,41,female,34,30,40,2,8
6516,Auditory,14,10,male,7,6,13,1,3
6516,Visual,10,10,male,7,6,13,1,3
6532,Auditory,9,81,male,37,10,31,6,3
6532,Visual,26,81,male,37,10,31,6,3
6537,Auditory,23,35,female,35,24,41,3,7
6537,Visual,30,35,female,35,24,41,3,7
6544,Auditory,19,16,female,29,25,27,4,6
6544,Visual,20,16,female,29,25,27,4,6
6552,Auditory,14,15,female,33,30,33,6,10
6552,Visual,23,15,female,33,30,33,6,10
6599,Auditory,12,10,female,9,12,6,2,4
6599,Visual,6,10,female,9,12,6,2,4
6618,Auditory,19,44,male,33,7,29,1,4
6618,Visual,13,44,male,33,7,29,1,4
6760,Auditory,27,52,male,34,27,39,4,7
6760,Visual,23,52,male,34,27,39,4,7
6780,Auditory,20,68,male,40,21,36,4,7
6780,Visual,32,68,male,40,21,36,4,7
6800,Auditory,20,28,female,31,13,NA,4,6
6800,Visual,16,28,female,31,13,NA,4,6
6832,Auditory,21,53,female,36,20,33,4,8
6832,Visual,26,53,female,36,20,33,4,8
6843,Auditory,13,71,male,31,4,28,2,6
6843,Visual,16,71,male,31,4,28,2,6
7098,Auditory,19,62,female,35,1,37,1,2
7098,Visual,23,62,female,35,1,37,1,2
7164,Auditory,13,10,male,4,19,5,1,2
7164,Visual,4,10,male,4,19,5,1,2
7165,Auditory,19,16,male,32,18,34,3,6
7165,Visual,21,16,male,32,18,34,3,6
7215,Auditory,5,74,male,34,13,21,3,4
7215,Visual,19,74,male,34,13,21,3,4
7269,Auditory,15,25,male,35,24,36,5,12
7269,Visual,22,25,male,35,24,36,5,12
7330,Auditory,18,68,female,37,12,37,4,8
7330,Visual,30,68,female,37,12,37,4,8
7337,Auditory,21,49,female,36,19,30,3,5
7337,Visual,16,49,female,36,19,30,3,5
7479,Auditory,16,25,male,38,34,43,4,11
7479,Visual,18,25,male,38,34,43,4,11
7540,Auditory,23,59,female,31,13,29,2,5
7540,Visual,14,59,female,31,13,29,2,5
7569,Auditory,6,10,male,4,8,6,1,7
7569,Visual,12,10,male,4,8,6,1,7
7601,Auditory,17,38,female,36,22,39,3,9
7601,Visual,22,38,female,36,22,39,3,9
7616,Auditory,2,11,female,13,2,15,2,6
7616,Visual,6,11,female,13,2,15,2,6
7744,Auditory,7,11,male,6,18,9,2,2
7744,Visual,3,11,male,6,18,9,2,2
7794,Auditory,12,64,male,36,10,38,3,6
7794,Visual,24,64,male,36,10,38,3,6
7859,Auditory,15,62,female,35,11,28,4,5
7859,Visual,16,62,female,35,11,28,4,5
7886,Auditory,8,10,female,27,26,31,1,6
7886,Visual,2,10,female,27,26,31,1,6
7921,Auditory,22,15,female,27,26,31,4,6
7921,Visual,21,15,female,27,26,31,4,6
8094,Auditory,21,56,male,37,19,33,3,7
8094,Visual,22,56,male,37,19,33,3,7
8373,Auditory,27,30,female,36,19,42,6,8
8373,Visual,31,30,female,36,19,42,6,8
8385,Auditory,14,69,female,28,7,26,2,4
8385,Visual,16,69,female,28,7,26,2,4
8443,Auditory,18,71,female,33,0,36,5,5
8443,Visual,25,71,female,33,0,36,5,5
8477,Auditory,17,42,female,36,25,26,3,8
8477,Visual,16,42,female,36,25,26,3,8
8509,Auditory,17,68,male,34,10,18,3,5
8509,Visual,19,68,male,34,10,18,3,5
8531,Auditory,23,52,female,36,30,31,4,8
8531,Visual,26,52,female,36,30,31,4,8
8578,Auditory,12,11,male,9,20,17,2,6
8578,Visual,8,11,male,9,20,17,2,6
8667,Auditory,21,27,female,33,33,44,3,6
8667,Visual,28,27,female,33,33,44,3,6
8674,Auditory,19,63,female,31,23,20,3,6
8674,Visual,17,63,female,31,23,20,3,6
8699,Auditory,13,80,female,36,12,30,4,5
8699,Visual,25,80,female,36,12,30,4,5
8706,Auditory,6,70,male,34,7,15,3,7
8706,Visual,16,70,male,34,7,15,3,7
8707,Auditory,18,63,female,35,6,34,3,4
8707,Visual,26,63,female,35,6,34,3,4
8760,Auditory,6,82,male,37,7,22,2,7
8760,Visual,20,82,male,37,7,22,2,7
8763,Auditory,15,40,female,27,26,13,2,4
8763,Visual,5,40,female,27,26,13,2,4
8788,Auditory,27,35,male,37,29,42,3,9
8788,Visual,7,35,male,37,29,42,3,9
8798,Auditory,16,15,male,20,18,14,2,5
8798,Visual,15,15,male,20,18,14,2,5
8805,Auditory,21,70,male,35,22,35,4,4
8805,Visual,14,70,male,35,22,35,4,4
8927,Auditory,15,59,male,36,9,32,5,5
8927,Visual,23,59,male,36,9,32,5,5
8942,Auditory,21,32,male,35,25,42,3,6
8942,Visual,33,32,male,35,25,42,3,6
8968,Auditory,17,25,male,31,21,26,2,6
8968,Visual,16,25,male,31,21,26,2,6
9022,Auditory,14,65,female,33,12,29,2,7
9022,Visual,17,65,female,33,12,29,2,7
9093,Auditory,18,15,female,18,23,21,3,6
9093,Visual,14,15,female,18,23,21,3,6
9193,Auditory,17,25,female,32,20,38,9,6
9193,Visual,20,25,female,32,20,38,9,6
9219,Auditory,13,11,male,11,9,13,1,6
9219,Visual,11,11,male,11,9,13,1,6
9275,Auditory,11,72,male,35,9,15,3,7
9275,Visual,24,72,male,35,9,15,3,7
9318,Auditory,15,72,male,34,9,19,2,6
9318,Visual,19,72,male,34,9,19,2,6
9442,Auditory,17,23,female,32,27,34,2,6
9442,Visual,16,23,female,32,27,34,2,6
9490,Auditory,25,39,female,35,21,32,2,9
9490,Visual,26,39,female,35,21,32,2,9
9509,Auditory,17,73,male,37,14,38,3,7
9509,Visual,19,73,male,37,14,38,3,7
9513,Auditory,7,10,male,14,5,10,1,5
9513,Visual,5,10,male,14,5,10,1,5
9555,Auditory,16,51,male,34,14,36,3,6
9555,Visual,7,51,male,34,14,36,3,6
9781,Auditory,22,43,male,34,35,37,4,12
9781,Visual,33,43,male,34,35,37,4,12
9802,Auditory,19,28,female,34,18,37,4,6
9802,Visual,19,28,female,34,18,37,4,6
9861,Auditory,22,24,male,36,25,41,4,7
9861,Visual,18,24,male,36,25,41,4,7
9912,Auditory,13,10,male,9,14,9,2,4
9912,Visual,8,10,male,9,14,9,2,4
9913,Auditory,16,40,female,29,17,17,3,8
9913,Visual,11,40,female,29,17,17,3,8
